Country/area,Type,Age Category,Capacity (MW),Capacity %
Afghanistan,Oil and gas,0-9 years,0.0,0.0
Afghanistan,Oil and gas,10-19 years,0.105,100.0
Afghanistan,Oil and gas,20-29 years,0.0,0.0
Afghanistan,Oil and gas,30-39 years,0.0,0.0
Afghanistan,Oil and gas,40-49 years,0.0,0.0
Afghanistan,Oil and gas,50+ years,0.0,0.0
Afghanistan,Utility-scale solar,0-9 years,0.035005857740585775,77.02760929369262
Afghanistan,Utility-scale solar,10-19 years,0.01044,22.97239070630738
Afghanistan,Utility-scale solar,20-29 years,0.0,0.0
Afghanistan,Utility-scale solar,30-39 years,0.0,0.0
Afghanistan,Utility-scale solar,40-49 years,0.0,0.0
Afghanistan,Utility-scale solar,50+ years,0.0,0.0
Afghanistan,Hydropower,0-9 years,0.1,32.05128205128205
Afghanistan,Hydropower,10-19 years,0.0,0.0
Afghanistan,Hydropower,20-29 years,0.0,0.0
Afghanistan,Hydropower,30-39 years,0.0,0.0
Afghanistan,Hydropower,40-49 years,0.0,0.0
Afghanistan,Hydropower,50+ years,0.212,67.94871794871796
Albania,Utility-scale solar,0-9 years,0.19302,100.0
Albania,Utility-scale solar,10-19 years,0.0,0.0
Albania,Utility-scale solar,20-29 years,0.0,0.0
Albania,Utility-scale solar,30-39 years,0.0,0.0
Albania,Utility-scale solar,40-49 years,0.0,0.0
Albania,Utility-scale solar,50+ years,0.0,0.0
Albania,Hydropower,0-9 years,0.341,19.642857142857142
Albania,Hydropower,10-19 years,0.045,2.5921658986175116
Albania,Hydropower,20-29 years,0.0,0.0
Albania,Hydropower,30-39 years,0.0,0.0
Albania,Hydropower,40-49 years,1.1,63.36405529953917
Albania,Hydropower,50+ years,0.25,14.400921658986174
Algeria,Oil and gas,0-9 years,9.6706,40.79802224134731
Algeria,Oil and gas,10-19 years,8.691,36.665316660760396
Algeria,Oil and gas,20-29 years,1.947,8.213942185997064
Algeria,Oil and gas,30-39 years,2.496,10.530046068951552
Algeria,Oil and gas,40-49 years,0.504,2.1262593023844483
Algeria,Oil and gas,50+ years,0.395,1.66641354055924
Algeria,Utility-scale solar,0-9 years,0.38280555555555557,89.18932912228018
Algeria,Utility-scale solar,10-19 years,0.0464,10.810670877719819
Algeria,Utility-scale solar,20-29 years,0.0,0.0
Algeria,Utility-scale solar,30-39 years,0.0,0.0
Algeria,Utility-scale solar,40-49 years,0.0,0.0
Algeria,Utility-scale solar,50+ years,0.0,0.0
Algeria,Wind,0-9 years,0.0,0.0
Algeria,Wind,10-19 years,0.01,100.0
Algeria,Wind,20-29 years,0.0,0.0
Algeria,Wind,30-39 years,0.0,0.0
Algeria,Wind,40-49 years,0.0,0.0
Algeria,Wind,50+ years,0.0,0.0
Algeria,Hydropower,0-9 years,0.0,0.0
Algeria,Hydropower,10-19 years,0.0,0.0
Algeria,Hydropower,20-29 years,0.0,0.0
Algeria,Hydropower,30-39 years,0.0,0.0
Algeria,Hydropower,40-49 years,0.0,0.0
Algeria,Hydropower,50+ years,0.172,100.0
American Samoa,Utility-scale solar,0-9 years,0.0013106106194690267,100.0
American Samoa,Utility-scale solar,10-19 years,0.0,0.0
American Samoa,Utility-scale solar,20-29 years,0.0,0.0
American Samoa,Utility-scale solar,30-39 years,0.0,0.0
American Samoa,Utility-scale solar,40-49 years,0.0,0.0
American Samoa,Utility-scale solar,50+ years,0.0,0.0
Andorra,Hydropower,0-9 years,0.0,0.0
Andorra,Hydropower,10-19 years,0.0,0.0
Andorra,Hydropower,20-29 years,0.0,0.0
Andorra,Hydropower,30-39 years,0.0,0.0
Andorra,Hydropower,40-49 years,0.0,0.0
Andorra,Hydropower,50+ years,0.045,100.0
Angola,Oil and gas,0-9 years,0.804,100.0
Angola,Oil and gas,10-19 years,0.0,0.0
Angola,Oil and gas,20-29 years,0.0,0.0
Angola,Oil and gas,30-39 years,0.0,0.0
Angola,Oil and gas,40-49 years,0.0,0.0
Angola,Oil and gas,50+ years,0.0,0.0
Angola,Utility-scale solar,0-9 years,0.42095499999999997,100.0
Angola,Utility-scale solar,10-19 years,0.0,0.0
Angola,Utility-scale solar,20-29 years,0.0,0.0
Angola,Utility-scale solar,30-39 years,0.0,0.0
Angola,Utility-scale solar,40-49 years,0.0,0.0
Angola,Utility-scale solar,50+ years,0.0,0.0
Angola,Wind,0-9 years,0.0,0.0
Angola,Wind,10-19 years,0.05,100.0
Angola,Wind,20-29 years,0.0,0.0
Angola,Wind,30-39 years,0.0,0.0
Angola,Wind,40-49 years,0.0,0.0
Angola,Wind,50+ years,0.0,0.0
Angola,Hydropower,0-9 years,2.77,77.37430167597765
Angola,Hydropower,10-19 years,0.11,3.072625698324022
Angola,Hydropower,20-29 years,0.52,14.52513966480447
Angola,Hydropower,30-39 years,0.0,0.0
Angola,Hydropower,40-49 years,0.0,0.0
Angola,Hydropower,50+ years,0.18,5.027932960893855
Angola,Bioenergy,0-9 years,0.0,0.0
Angola,Bioenergy,10-19 years,0.1,100.0
Angola,Bioenergy,20-29 years,0.0,0.0
Angola,Bioenergy,30-39 years,0.0,0.0
Angola,Bioenergy,40-49 years,0.0,0.0
Angola,Bioenergy,50+ years,0.0,0.0
Antigua and Barbuda,Utility-scale solar,0-9 years,0.0075,100.0
Antigua and Barbuda,Utility-scale solar,10-19 years,0.0,0.0
Antigua and Barbuda,Utility-scale solar,20-29 years,0.0,0.0
Antigua and Barbuda,Utility-scale solar,30-39 years,0.0,0.0
Antigua and Barbuda,Utility-scale solar,40-49 years,0.0,0.0
Antigua and Barbuda,Utility-scale solar,50+ years,0.0,0.0
Argentina,Coal,0-9 years,0.0,0.0
Argentina,Coal,10-19 years,0.0,0.0
Argentina,Coal,20-29 years,0.0,0.0
Argentina,Coal,30-39 years,0.0,0.0
Argentina,Coal,40-49 years,0.375,71.42857142857143
Argentina,Coal,50+ years,0.15,28.57142857142857
Argentina,Oil and gas,0-9 years,7.5722,33.12104696835825
Argentina,Oil and gas,10-19 years,4.438,19.411955104933032
Argentina,Oil and gas,20-29 years,7.233,31.637375230730203
Argentina,Oil and gas,30-39 years,1.077,4.710832728258873
Argentina,Oil and gas,40-49 years,0.436,1.9070780589794507
Argentina,Oil and gas,50+ years,2.106,9.21171190874019
Argentina,Utility-scale solar,0-9 years,1.612423,98.4834353639908
Argentina,Utility-scale solar,10-19 years,0.02483,1.5165646360092182
Argentina,Utility-scale solar,20-29 years,0.0,0.0
Argentina,Utility-scale solar,30-39 years,0.0,0.0
Argentina,Utility-scale solar,40-49 years,0.0,0.0
Argentina,Utility-scale solar,50+ years,0.0,0.0
Argentina,Wind,0-9 years,4.1558,95.24879099722673
Argentina,Wind,10-19 years,0.18930000000000002,4.338658293415232
Argentina,Wind,20-29 years,0.018,0.41255070935802524
Argentina,Wind,30-39 years,0.0,0.0
Argentina,Wind,40-49 years,0.0,0.0
Argentina,Wind,50+ years,0.0,0.0
Argentina,Hydropower,0-9 years,0.0,0.0
Argentina,Hydropower,10-19 years,0.125,1.02880658436214
Argentina,Hydropower,20-29 years,0.516,4.246913580246914
Argentina,Hydropower,30-39 years,5.394,44.39506172839506
Argentina,Hydropower,40-49 years,3.799,31.267489711934154
Argentina,Hydropower,50+ years,2.316,19.061728395061728
Argentina,Nuclear,0-9 years,0.745,42.2575155984118
Argentina,Nuclear,10-19 years,0.0,0.0
Argentina,Nuclear,20-29 years,0.0,0.0
Argentina,Nuclear,30-39 years,0.0,0.0
Argentina,Nuclear,40-49 years,0.656,37.2093023255814
Argentina,Nuclear,50+ years,0.362,20.533182076006806
Argentina,Bioenergy,0-9 years,0.04,24.691358024691358
Argentina,Bioenergy,10-19 years,0.122,75.30864197530865
Argentina,Bioenergy,20-29 years,0.0,0.0
Argentina,Bioenergy,30-39 years,0.0,0.0
Argentina,Bioenergy,40-49 years,0.0,0.0
Argentina,Bioenergy,50+ years,0.0,0.0
Armenia,Oil and gas,0-9 years,0.254,22.5377107364685
Armenia,Oil and gas,10-19 years,0.673,59.71606033717835
Armenia,Oil and gas,20-29 years,0.0,0.0
Armenia,Oil and gas,30-39 years,0.0,0.0
Armenia,Oil and gas,40-49 years,0.0,0.0
Armenia,Oil and gas,50+ years,0.2,17.74622892635315
Armenia,Utility-scale solar,0-9 years,0.15519999999999998,100.0
Armenia,Utility-scale solar,10-19 years,0.0,0.0
Armenia,Utility-scale solar,20-29 years,0.0,0.0
Armenia,Utility-scale solar,30-39 years,0.0,0.0
Armenia,Utility-scale solar,40-49 years,0.0,0.0
Armenia,Utility-scale solar,50+ years,0.0,0.0
Armenia,Hydropower,0-9 years,0.0,0.0
Armenia,Hydropower,10-19 years,0.0,0.0
Armenia,Hydropower,20-29 years,0.0,0.0
Armenia,Hydropower,30-39 years,0.076,8.616780045351474
Armenia,Hydropower,40-49 years,0.171,19.387755102040817
Armenia,Hydropower,50+ years,0.635,71.99546485260771
Armenia,Nuclear,0-9 years,0.0,0.0
Armenia,Nuclear,10-19 years,0.0,0.0
Armenia,Nuclear,20-29 years,0.0,0.0
Armenia,Nuclear,30-39 years,0.0,0.0
